"country","purpose","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Mexico","Personal","19,541","20,593","18,577","18,847","18,520","20,057","19,201","19,034","18,126","20,033","21,129","20,578","20,742","22,138","21,663","22,480","22,568","22,472","23,087","28,092","30,702","33,451","37,355","39,310","43,134","23,785","0"
"Mexico","Business and professional","700","802","774","545","523","584","609","632","539","586","786","775","864","792","683","809","835","931","1,064","1,254","1,391","1,628","1,936","2,002","1,891","498","0"
"Peru","total","479","584","649","771","727","828","901","998","1,069","1,350","1,571","1,721","1,916","2,058","2,140","2,299","2,598","2,846","3,164","3,215","3,456","3,744","4,032","4,419","4,372","897","0"
"Peru","Personal","457","558","614","703","669","775","868","961","1,030","1,315","1,530","1,676","1,867","2,005","2,085","2,240","2,531","2,772","3,082","3,132","3,366","3,647","3,924","4,304","4,258","873","0"
"Peru","Business and professional","22","26","35","68","58","53","33","37","39","35","41","45","49","53","55","59","67","74","82","83","89","97","108","115","114","24","0"
"Spain","total","0","0","37,132","41,892","45,440","46,403","48,565","50,331","50,854","52,430","55,913","58,005","58,666","57,192","52,178","52,677","56,177","57,464","60,675","64,938","68,175","75,315","81,868","82,808","83,509","18,933","31,181"
"Spain","Personal","0","0","34,310","37,860","40,680","41,103","44,081","45,456","46,130","47,144","49,989","53,090","53,391","51,921","47,842","48,302","52,062","53,490","56,604","60,625","63,196","69,611","76,162","77,172","77,397","17,368","28,911"
"Spain","Business and professional","0","0","2,822","4,032","4,760","5,300","4,484","4,875","4,724","5,286","5,924","4,915","5,275","5,271","4,336","4,375","4,115","3,974","4,071","4,313","4,979","5,704","5,707","5,637","6,113","1,566","2,270"
"Thailand","total","6,951","7,192","7,223","7,765","8,581","9,509","10,061","10,799","10,004","11,651","11,517","13,821","14,464","14,584","14,150","15,936","19,230","22,354","26,547","0","0","0","35,592","38,178","39,916","6,702","0"
"Thailand","Personal","6,256","6,383","6,400","6,961","7,719","8,536","9,047","9,827","9,019","10,477","9,972","11,845","12,647","13,201","12,267","13,670","17,265","20,179","24,206","0","0","0","33,959","36,122","37,873","6,461","0"
"Thailand","Business and professional","695","809","823","804","862","973","1,014","972","985","1,174","1,545","1,976","1,817","1,383","1,883","2,266","1,965","2,175","2,341","0","0","0","1,633","2,057","2,044","242","0"
"Türkiye","total","7,727","8,614","9,689","9,753","0","0","11,277","12,922","13,702","17,203","20,523","19,276","27,215","30,980","32,006","33,028","36,151","36,464","39,226","41,415","41,618","31,365","38,620","45,629","51,860","15,826","29,357"
"Türkiye","Personal","7,142","6,761","7,896","7,780","0","0","10,034","11,541","12,159","15,306","18,551","16,960","24,718","28,455","30,211","31,127","33,776","34,083","36,703","38,923","39,261","29,454","36,735","43,613","49,874","15,164","28,255"
"Türkiye","Business and professional","585","1,853","1,793","1,973","0","0","1,243","1,381","1,543","1,897","1,972","2,316","2,497","2,525","1,795","1,901","2,375","2,381","2,523","2,492","2,356","1,912","1,886","2,016","1,986","662","1,102"
"United Arab Emirates","total","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16,232","19,313","20,894","21,805","23,092","25,282","8,084","0"
"United Arab Emirates","Personal","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14,332","15,239","15,838","16,626","17,656","19,201","5,714","0"
"United Arab Emirates","Business and professional","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,901","4,074","5,056","5,179","5,436","6,080","2,371","0"
"United Kingdom","total","23,537","25,163","25,515","25,745","25,394","25,209","22,835","24,180","24,715","27,755","29,970","32,713","32,778","31,888","31,072","30,398","31,886","32,221","33,567","35,337","36,792","39,129","41,080","40,283","40,857","11,101","0"
"United Kingdom","Personal","16,977","18,240","18,459","18,156","17,632","17,201","15,448","16,340","17,125","19,700","21,197","22,996","23,282","23,205","23,623","22,846","23,774","23,929","24,871","26,131","27,190","29,110","31,513","30,923","31,588","8,632","0"
"United Kingdom","Business and professional","6,560","6,923","7,056","7,589","7,762","8,008","7,387","7,840","7,590","8,055","8,773","9,717","9,496","8,683","7,449","7,552","8,112","8,292","8,696","9,206","9,602","10,019","9,567","9,361","9,269","2,469","0"
"United States","total","0","0","24,194","23,698","24,646","25,975","21,833","19,117","18,026","20,322","21,679","21,668","23,892","25,341","23,756","26,363","28,540","30,071","33,689","35,296","38,700","38,129","38,906","39,883","40,393","7,594","9,175"
"United States","Personal","0","0","16,863","16,518","17,277","17,845","15,370","13,324","12,564","14,165","15,110","15,103","16,653","18,449","18,435","20,589","22,546","23,936","27,221","28,836","31,424","31,266","31,942","32,904","33,405","5,969","8,046"
"United States","Business and professional","0","0","7,331","7,180","7,369","8,130","6,463","5,792","5,462","6,158","6,569","6,565","7,239","6,893","5,321","5,773","5,993","6,134","6,468","6,459","7,276","6,863","6,964","6,979","6,988","1,625","1,129"
"Viet Nam","total","1,351","1,607","1,716","1,520","1,782","2,140","2,330","2,628","2,429","2,928","3,477","3,583","4,229","4,236","3,747","5,050","6,014","6,848","7,572","7,874","0","0","0","0","0","0","0"
"Viet Nam","Personal","1,043","1,242","1,313","1,228","1,516","1,720","1,935","2,182","1,961","2,406","2,981","3,007","3,555","3,392","3,005","4,026","5,011","5,682","6,305","6,552","0","0","0","0","0","0","0"
"Viet Nam","Business and professional","308","365","403","292","266","420","395","446","468","522","496","576","674","844","742","1,024","1,003","1,166","1,267","1,322","0","0","0","0","0","0","0"
"Zambia","total","163","264","341","361","404","457","492","565","413","515","669","756","897","811","710","815","920","859","915","947","932","956","1,009","1,072","1,266","502","554"
"Zambia","Personal","124","155","201","195","220","256","291","317","257","355","416","466","557","472","381","373","350","385","379","513","350","408","410","445","686","287","343"
"Zambia","Business and professional","39","109","140","166","184","201","201","248","156","160","253","290","340","339","329","442","571","474","535","434","582","549","599","626","580","215","211"
"Zimbabwe","total","0","1,597","1,336","2,090","2,250","1,966","2,217","0","0","1,854","1,558","2,287","2,506","1,956","2,017","2,239","2,423","1,794","1,833","1,880","2,057","2,168","2,423","2,580","2,294","639","381"
"Zimbabwe","Personal","0","1,411","1,076","1,828","1,763","1,614","1,781","0","0","1,261","1,293","1,894","2,128","1,827","1,881","1,896","2,006","1,425","1,595","1,696","1,897","2,026","2,257","2,278","2,074","539","275"
"Zimbabwe","Business and professional","0","186","260","262","487","352","436","0","0","593","265","393","378","129","136","343","417","369","237","184","160","142","166","302","221","101","106"
