"basic","country","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"total","India","2,124","2,288","2,374","2,359","2,482","2,641","2,537","2,384","2,726","3,457","3,919","4,447","5,082","5,283","5,168","5,776","6,308","6,578","6,968","7,679","8,027","8,804","10,036","10,558","10,930","2,745","1,527"
"air","India","1,833","1,996","2,048","2,041","2,089","2,214","2,210","1,953","2,265","2,960","3,390","3,873","4,542","4,707","4,642","5,302","5,804","6,032","6,341","6,612","6,787","7,406","7,993","8,406","8,463","2,174","1,336"
"water","India","1","2","1","1","0","0","23","14","14","17","16","27","31","37","53","40","50","46","35","31","54","75","68","82","101","41","11"
"land","India","290","290","325","317","393","427","304","417","447","480","513","547","509","539","473","434","454","500","592","1,037","1,186","1,324","1,975","2,070","2,367","530","180"
"total","Indonesia","4,324","5,034","5,185","4,607","4,728","5,064","5,154","5,033","4,467","5,321","5,002","4,871","5,506","6,234","6,324","7,003","7,650","8,044","8,802","9,435","10,407","11,519","14,040","15,810","16,107","4,053","1,558"
"air","Indonesia","2,700","3,210","3,138","2,346","2,449","2,760","2,766","2,745","2,178","2,790","2,889","2,822","3,304","4,091","4,396","4,998","5,446","5,755","6,429","6,978","7,331","8,556","9,671","10,089","9,835","1,714","137"
"water","Indonesia","1,598","1,796","2,024","2,223","2,256","2,271","2,355","2,256","2,262","2,509","2,082","2,019","2,163","2,095","1,874","1,955","2,148","2,241","2,325","2,399","2,745","2,628","2,783","2,753","4,161","1,025","416"
"land","Indonesia","26","28","23","38","23","33","33","32","27","22","31","30","39","48","54","50","56","48","48","59","331","336","1,586","2,968","2,112","1,315","1,005"
"total","Jordan","3,277","3,164","3,068","4,647","4,579","4,076","4,540","6,743","6,656","7,999","8,378","8,993","8,470","9,231","9,260","11,136","8,713","8,065","6,979","6,941","4,809","4,236","4,565","4,922","5,361","1,240","2,359"
"air","Jordan","315","319","316","716","760","782","818","948","1,028","1,407","1,449","1,885","1,705","1,735","1,883","2,186","2,270","2,604","2,686","2,910","2,095","1,905","2,033","2,221","2,437","573","1,207"
"water","Jordan","555","531","394","337","235","211","298","221","288","370","356","425","586","607","507","511","366","408","330","269","192","161","153","167","190","37","55"
"land","Jordan","2,407","2,314","2,358","3,594","3,584","3,083","3,424","5,574","5,340","6,222","6,573","6,683","6,179","6,889","6,870","8,439","6,077","5,053","3,963","3,762","2,522","2,170","2,379","2,535","2,734","630","1,097"
"total","Japan","3,732","4,245","4,670","4,557","4,902","5,272","5,286","5,772","5,727","6,756","7,450","8,108","9,152","9,146","7,582","9,444","7,135","9,172","11,255","14,150","19,688","23,219","27,429","30,102","31,187","4,307","0"
