Basic_data_and_indicators,,,Units,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1/ Excluding nationals residing abroad and crew members.
,Total,,Thousands,3726,4164,4318,4167,4460,4931,4856,4841,4746,5215,5499,5533,5645,5585,5490,5790,5771,6033,6482,6922,7449,8269,8815,9246,9466,1828,246,
,,Air,Thousands,3712,4149,4305,4146,4427,4904,4832,4819,4730,5201,5486,5514,5619,5558,5464,5772,5760,6017,6386,6865,7387,8209,8743,9167,9387,1789,246,
,,Water,Thousands,14,15,13,21,33,27,24,22,16,14,13,19,26,27,26,18,11,16,96,57,62,60,72,78,79,39,0,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
AUSTRIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Air,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Water,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
,,Land,Thousands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,
AZERBAIJAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,,Thousands,..,210,306,483,602,681,767,834,1038,1279,1177,1193,1332,1899,1830,1963,2239,2484,2509,2298,2007,2249,2697,2850,3170,796,792,
,,Air,Thousands,..,195,286,466,564,658,739,173,217,276,276,281,297,572,624,646,795,946,994,1089,969,1165,1152,1184,1285,219,380,
,,Water,Thousands,..,1,3,1,1,1,2,2,6,8,10,9,9,15,13,14,20,21,27,16,32,17,19,28,25,20,17,
,,Land,Thousands,..,14,17,16,37,22,26,659,815,995,891,903,1026,1312,1193,1303,1424,1517,1489,1192,1006,1067,1526,1637,1861,557,395,
BAHAMAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
